person,Year,VoteAlongRatio_Film,VoteAlongRatio_FS_IIR,VoteAlongRatio_FS_FSS,VoteAlongRatio_FS_CM,VoteAlongRatio_FS_REB,sex_female,sex_male,ethnicity_asian,ethnicity_black,ethnicity_hispanic,ethnicity_islander,ethnicity_native,ethnicity_white,party_short_D,party_short_R,MODELING_GROUP,Disney_Donations_Diff,Bloomberg_Donations_Diff,Citadel_Donations_Diff
49,2012,0.0,0.5,0.0,0.7142857142857143,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
52,2012,0.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
52,2014,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
52,2016,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
52,2018,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,1,1,0,TESTING,,,
56,2012,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0,1,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
56,2014,0.0,0.6,0.3333333333333333,0.4,0.5,0,1,0,1,0,0,0,0,1,0,TRAINING,1000.0,0.0,0.0
56,2016,0.0,0.2857142857142857,0.4444444444444444,0.0,0.3333333333333333,0,1,0,1,0,0,0,0,1,0,TRAINING,-1000.0,0.0,0.0
56,2018,0.0,1.0,1.0,1.0,1.0,0,1,0,1,0,0,0,0,1,0,TRAINING,,,
60,2016,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,-16750.0,-1000.0,-1000.0
60,2018,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
60,2012,0.0,0.3333333333333333,0.3333333333333333,0.42857142857142855,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,6000.0,1000.0,1000.0
60,2014,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,13250.0,1000.0,1000.0
61,2012,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
61,2014,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
61,2016,0.0,0.2857142857142857,0.4444444444444444,0.5,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
61,2018,0.0,0.75,1.0,1.0,1.0,1,0,0,0,1,0,0,0,1,0,TRAINING,,,
62,2012,0.0,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,1500.0,0.0,0.0
62,2014,0.0,0.8,0.3333333333333333,0.4,0.5,0,1,0,0,0,0,0,1,1,0,TRAINING,-2500.0,0.0,0.0
62,2016,0.0,0.2857142857142857,0.4444444444444444,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,1500.0,0.0,0.0
62,2018,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
63,2012,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,-1000.0,0.0,0.0
63,2014,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,7500.0,0.0,0.0
63,2016,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,-3000.0,25.0,25.0
63,2018,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
64,2018,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
64,2016,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
64,2014,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
64,2012,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
66,2012,0.0,0.3333333333333333,0.6666666666666666,0.42857142857142855,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TRAINING,2600.0,0.0,0.0
66,2014,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TRAINING,10.0,200.0,200.0
66,2016,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TRAINING,-1008.0,-200.0,-200.0
66,2018,0.0,0.0,0.0,1.0,0.0,1,0,0,0,0,0,0,1,1,0,TRAINING,,,
67,2012,0.0,0.8333333333333334,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
67,2014,0.0,1.0,0.3333333333333333,0.6,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
67,2016,0.0,0.7142857142857143,0.8888888888888888,0.25,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
67,2018,0.0,0.75,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
68,2012,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
68,2014,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
68,2016,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
68,2018,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
71,2018,0.0,0.75,1.0,1.0,1.0,1,0,0,0,1,0,0,0,1,0,TRAINING,,,
71,2016,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
71,2012,0.0,0.5,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
71,2014,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,1,0,0,0,1,0,TRAINING,0.0,0.0,0.0
73,2012,0.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.3333333333333333,0,1,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
73,2014,0.0,0.8,0.3333333333333333,0.6,0.25,0,1,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
73,2016,0.0,0.42857142857142855,0.2222222222222222,0.0,0.0,0,1,0,1,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
73,2018,0.0,1.0,1.0,1.0,1.0,0,1,0,1,0,0,0,0,1,0,TESTING,,,
74,2012,0.0,0.16666666666666666,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
74,2014,0.0,0.8,0.3333333333333333,0.4,0.5,0,1,0,0,0,0,0,1,1,0,TRAINING,1000.0,0.0,0.0
74,2016,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
74,2018,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
75,2016,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0.0
75,2018,0.0,1.0,0.6666666666666666,1.0,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,TESTING,,,
75,2014,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0.0
75,2012,0.0,0.3333333333333333,0.6666666666666666,0.5714285714285714,0.6666666666666666,1,0,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0.0
77,2012,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
77,2014,0.0,0.8,0.3333333333333333,0.4,0.25,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
77,2016,0.0,0.14285714285714285,0.3333333333333333,0.0,0.0,1,0,0,0,0,0,0,1,1,0,TESTING,0.0,0.0,0.0
77,2018,0.0,1.0,1.0,1.0,1.0,1,0,0,0,0,0,0,1,1,0,TESTING,,,
78,2012,0.0,0.5,0.3333333333333333,0.5714285714285714,1.0,0,1,0,0,0,0,0,1,1,0,TESTING,-3000.0,0.0,0.0
78,2014,0.0,0.8,0.3333333333333333,0.4,0.5,0,1,0,0,0,0,0,1,1,0,TESTING,-2500.0,0.0,0.0
78,2016,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TESTING,35020.0,5.0,5.0
78,2018,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
79,2016,0.0,0.42857142857142855,0.6666666666666666,0.25,0.3333333333333333,0,1,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
79,2018,0.0,1.0,1.0,1.0,1.0,0,1,0,1,0,0,0,0,1,0,TRAINING,,,
79,2014,0.0,0.8,0.3333333333333333,0.8,1.0,0,1,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
79,2012,0.0,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,1,0,0,0,0,1,0,TRAINING,0.0,0.0,0.0
80,2012,0.0,0.3333333333333333,0.3333333333333333,0.5714285714285714,0.6666666666666666,0,1,1,0,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
80,2014,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,1,0,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
80,2016,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,1,0,0,0,0,0,1,0,TESTING,0.0,0.0,0.0
80,2018,0.0,1.0,1.0,1.0,1.0,0,1,1,0,0,0,0,0,1,0,TESTING,,,
81,2012,0.0,0.3333333333333333,0.3333333333333333,0.7142857142857143,0.6666666666666666,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0.0
81,2014,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0.0
81,2016,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,1,0,0,0,1,0,TESTING,0.0,0.0,0.0
81,2018,0.0,0.5,1.0,1.0,1.0,0,1,0,0,1,0,0,0,1,0,TESTING,,,
82,2018,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,0,TESTING,,,
82,2016,0.0,0.42857142857142855,0.5555555555555556,0.0,0.3333333333333333,0,1,0,0,0,0,0,1,1,0,TESTING,-1000.0,0.0,0.0
82,2014,0.0,0.8,0.3333333333333333,0.4,0.75,0,1,0,0,0,0,0,1,1,0,TESTING,-50.0,0.0,0.0
82,2012,0.0,0.5,0.6666666666666666,0.7142857142857143,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TESTING,1050.0,0.0,0.0
84,2012,0.0,0.16666666666666666,0.0,0.5714285714285714,0.6666666666666666,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
84,2014,0.0,0.8,0.3333333333333333,0.4,0.25,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
84,2016,0.0,0.2857142857142857,0.3333333333333333,0.0,0.0,0,1,0,0,0,0,0,1,1,0,TRAINING,0.0,0.0,0.0
84,2018,0.0,1.0,1.0,1.0,1.0,0,1,0,0,0,0,0,1,1,0,TRAINING,,,
